"regex","outcome"
"The ([A-Za-z ]+) could be improved with ([A-Za-z ]+).","success"
"The ([A-Za-z ]+) has some (a-z)+ that must be ([A-Za-z ]+).","success"
"The ([A-Za-z ]+) needs to be sharpened with a whetstone.","success"
"The ([A-Za-z ]+) needs water.","success"
"The ([A-Za-z ]+) will probably give birth in a while!","success"
"You almost made it, but the plank is damaged.","failure"
"You attach the ([A-Za-z ]+) to the ([A-Za-z ]+).","success"
"You butcher the corpse of ([A-Za-z ]+).","success"
"You continue to build a ([A-Za-z ]+).","start"
"You create a ([A-Za-z ]+) in front of you on the ground.","success"
"You create a ([A-Za-z ]+).","success"
"You damage the ([A-Za-z ]+) a little.","success"
"You filet the ([A-Za-z ]+).","success"
"You fill the pottery jar with dye.","success"
"You find a diamond!","success"
"You improve the ([A-Za-z ]+) a bit.","success"
"You mine some ([A-Za-z ]+).","success"
"You nail a plank to the wall.","success"
"You need to temper the ([A-Za-z ]+) by dipping it in water while it's hot.","success"
"You raise the ground a bit.","success"
"You repair the ([A-Za-z() ]+).","success"
"You start repairing the ([A-Za-z() ]+).","start"
"You start to filet the ([A-Za-z ]+).","start"
"You start to improve the ([A-Za-z ]+).","start"
"You start to mine.","start"
"You start to work with the ([A-Za-z ]+) on the ([A-Za-z ]+).","start"
"You will want to polish the ([A-Za-z ]+) with a pelt before you improve it.","success"
"The ([A-Za-z ]+) has some dents that must be flattened by a hammer.","success"
"You start to build ([A-Za-z ]+).","start"
"You start to attach the lock.","start"
"You attach the lock and lock the door.","success"
"You stop continuing.","stop"
"You start removing weeds and otherwise put the field in good order.","start"
"The field is tended.","finish"
"The field is now tended.","finish"
"The field looks better after your tending.","finish"
"The field is now groomed.","finish"
"The field is now nicely groomed.","finish"
"You stop farming.","stop"
